Cm,Ch,Bm,Bh,T,sR,sG,sB
0.001,0.00982769,0.25,0.833333,0.09,243.989,194.803,172.119
0.001,0.00982769,0.25,0.666667,0.05,244.048,193.904,166.501
0.001,0.00982769,0.25,0.666667,0.09,244.944,195.689,170.458
0.001,0.00982769,0.25,1,0.01,240.839,189.837,164.266
0.001,0.00982769,0.25,1,0.05,242.067,192.425,169.881
0.001,0.00982769,0.25,0.666667,0.13,245.718,196.982,173.83
0.001,0.00982769,0.25,1,0.09,243.268,194.243,174.137
0.001,0.00982769,0.25,0.666667,0.17,246.578,198.541,177.06
0.001,0.00982769,0.25,1,0.13,244.333,196.153,176.965
0.001,0.00982769,0.25,1,0.17,245.053,197.389,179.583
0.001,0.00982769,0.25,0.666667,0.21,247.351,199.648,179.149
0.001,0.00982769,0.25,0.833333,0.01,241.578,190.551,162.21
0.001,0.00982769,0.25,0.833333,0.05,243.015,193.016,167.787
0.001,0.00982769,0.25,0.833333,0.13,244.988,196.394,175.194
0.001,0.00982769,0.25,1,0.21,246.06,198.789,181.999
0.001,0.00982769,0.444444,0,0.01,247.659,194.767,156.802
0.001,0.00982769,0.25,0.833333,0.17,246.073,197.737,178.167
0.001,0.00982769,0.25,0.833333,0.21,246.672,199.289,180.664
0.001,0.00982769,0.25,0.833333,0.25,247.409,200.331,182.985
0.001,0.00982769,0.25,1,0.25,246.637,200.097,183.832
0.001,0.00982769,0.444444,0,0.09,249.41,198.517,167.612
0.001,0.00982769,0.444444,0.166667,0.01,246.388,194.29,157.26
0.001,0.00982769,0.444444,0,0.25,251.541,203.388,178.998
0.001,0.00982769,0.444444,0.166667,0.05,247.338,196.253,163.519
0.001,0.00982769,0.444444,0.166667,0.13,248.831,199.21,171.695
0.001,0.00982769,0.444444,0.166667,0.09,248.122,198.065,167.988
0.001,0.00982769,0.444444,0.166667,0.17,249.558,200.65,174.566
0.001,0.00982769,0.444444,0,0.05,248.645,197.037,163.195
0.001,0.00982769,0.444444,0,0.13,250.089,199.89,171.269
0.001,0.00982769,0.444444,0,0.21,250.959,202.298,176.723
0.001,0.00982769,0.444444,0,0.17,250.482,201.209,174.466
0.001,0.00982769,0.444444,0.166667,0.21,249.968,201.807,176.912
0.001,0.00982769,0.444444,0.166667,0.25,250.318,202.806,179.302
0.001,0.00982769,0.444444,0.5,0.01,243.613,192.63,158.795
0.001,0.00982769,0.444444,0.333333,0.09,246.754,197.194,168.411
0.001,0.00982769,0.444444,0.333333,0.13,247.305,198.406,172.153
0.001,0.00982769,0.444444,0.333333,0.21,248.492,201.055,177.492
0.001,0.00982769,0.444444,0.5,0.05,244.787,194.935,165.125
0.001,0.00982769,0.444444,0.666667,0.01,242.501,191.827,160.375
0.001,0.00982769,0.444444,0.5,0.25,248.152,200.845,180.701
0.001,0.00982769,0.444444,0.333333,0.01,244.864,193.339,157.853
0.001,0.00982769,0.444444,0.333333,0.05,246.026,195.686,164.325
0.001,0.00982769,0.444444,0.333333,0.17,247.804,199.815,175.175
0.001,0.00982769,0.444444,0.333333,0.25,248.949,201.686,179.858
0.001,0.00982769,0.444444,0.5,0.09,245.58,196.319,169.645
0.001,0.00982769,0.444444,0.5,0.13,246.387,197.569,172.944
0.001,0.00982769,0.444444,0.5,0.21,247.644,199.743,178.416
0.001,0.00982769,0.444444,0.5,0.17,246.898,198.607,175.792
0.001,0.00982769,0.444444,0.666667,0.05,243.964,193.668,166.931
0.001,0.00982769,0.444444,0.666667,0.21,246.869,199.065,178.946
0.001,0.00982769,0.444444,0.833333,0.01,241.507,190.9,161.898
0.001,0.00982769,0.444444,0.666667,0.25,247.392,200.215,181.193
0.001,0.00982769,0.444444,0.666667,0.09,244.977,195.355,170.804
0.001,0.00982769,0.444444,0.666667,0.13,245.758,196.842,173.821
0.001,0.00982769,0.444444,0.833333,0.05,242.871,192.911,167.787
0.001,0.00982769,0.444444,0.833333,0.09,243.891,194.732,172.138
0.001,0.00982769,0.444444,0.833333,0.13,244.602,196.24,175.212
0.001,0.00982769,0.444444,0.833333,0.17,245.435,197.592,177.901
0.001,0.00982769,0.444444,0.666667,0.17,246.294,197.962,176.62
0.001,0.00982769,0.444444,1,0.09,242.97,194.183,173.547
0.001,0.00982769,0.444444,1,0.13,243.851,195.645,176.597
0.001,0.00982769,0.694444,0,0.01,246.942,194.517,156.776
