Cm,Ch,Bm,Bh,T,sR,sG,sB
0.00227558,0.0467429,0.5,0.75,0.25,8.13999,6.29806,5.94907
0.00227558,0.222573,0.5,0.75,0.25,5.56613,3.53595,4.0244
0.00227558,0.23998,0.5,0.75,0.25,5.30154,3.43829,3.95737
0.00227558,0.258387,0.5,0.75,0.25,5.04149,3.30851,3.89866
0.00227558,0.10511,0.5,0.75,0.25,6.86414,4.7638,4.9072
0.00227558,0.0957984,0.5,0.75,0.25,7.08889,4.84877,5.08077
0.00227558,0.298359,0.5,0.75,0.25,4.90691,2.99994,3.88021
0.00227558,0.0522165,0.5,0.75,0.25,8.0567,6.06374,5.63548
0.00227558,0.064591,0.5,0.75,0.25,7.75109,5.63371,5.50293
0.00227558,0.0581572,0.5,0.75,0.25,8.06587,5.78639,5.59537
0.00227558,0.0790447,0.5,0.75,0.25,7.21805,5.33087,5.3473
0.00227558,0.277834,0.5,0.75,0.25,4.87762,3.16353,3.92337
0.00227558,0.0871198,0.5,0.75,0.25,7.36726,5.05941,5.1096
0.00227558,0.32,0.5,0.75,0.25,4.75376,2.9422,3.72014
0.00319587,0.00132752,0.5,0.75,0.25,5.57874,9.58363,7.47411
0.00227558,0.0715445,0.5,0.75,0.25,7.44275,5.67245,5.3988
0.00319587,0.001,0.5,0.75,0.25,5.74995,9.6896,7.46006
0.00227558,0.175997,0.5,0.75,0.25,5.8637,4.0734,4.24934
0.00319587,0.00634605,0.5,0.75,0.25,9.98095,8.48452,6.77312
0.00319587,0.00172959,0.5,0.75,0.25,10.2628,9.41411,7.23812
0.00319587,0.014583,0.5,0.75,0.25,9.28024,7.64005,6.25621
0.00319587,0.00760388,0.5,0.75,0.25,9.76662,8.44249,6.71666
0.00319587,0.0125124,0.5,0.75,0.25,9.42929,7.96086,6.32589
0.00319587,0.0169004,0.5,0.75,0.25,9.0984,7.42882,6.21415
0.00319587,0.00904004,0.5,0.75,0.25,9.81634,8.24224,6.73148
0.00319587,0.00280018,0.5,0.75,0.25,5.57628,8.99283,7.2255
0.00319587,0.0106706,0.5,0.75,0.25,9.39328,7.93368,6.53479
0.00319587,0.00349187,0.5,0.75,0.25,10.1845,8.8516,7.20709
0.00319587,0.0194837,0.5,0.75,0.25,8.95657,7.32036,6.17496
0.00319587,0.0255268,0.5,0.75,0.25,8.58308,6.93465,5.89644
0.00319587,0.00430441,0.5,0.75,0.25,10.0821,8.59527,7.00554
0.00319587,0.0290279,0.5,0.75,0.25,8.48141,6.63335,5.90012
0.00319587,0.0328773,0.5,0.75,0.25,8.38218,6.28289,5.58132
0.00319587,0.0467429,0.5,0.75,0.25,7.88593,5.87906,5.29563
0.00319587,0.0790447,0.5,0.75,0.25,6.91859,4.94915,4.86939
0.00319587,0.00221673,0.5,0.75,0.25,10.2804,9.18152,7.38411
0.00319587,0.00525113,0.5,0.75,0.25,9.81806,8.5257,6.85283
0.00319587,0.10511,0.5,0.75,0.25,6.77689,4.58286,4.49517
0.00319587,0.0223524,0.5,0.75,0.25,8.86096,7.00408,6.03617
0.00319587,0.125752,0.5,0.75,0.25,6.48669,4.31613,4.28237
0.00319587,0.0522165,0.5,0.75,0.25,7.86643,5.62302,5.26142
0.00319587,0.0715445,0.5,0.75,0.25,7.11898,5.04218,4.92342
0.00319587,0.0581572,0.5,0.75,0.25,7.62539,5.49784,5.23264
0.00319587,0.064591,0.5,0.75,0.25,7.49538,5.25648,4.98935
0.00319587,0.0370974,0.5,0.75,0.25,8.2112,6.20998,5.63915
0.00319587,0.0417114,0.5,0.75,0.25,8.04681,5.99649,5.50653
0.00319587,0.149294,0.5,0.75,0.25,5.97209,4.04246,4.14289
0.00319587,0.0957984,0.5,0.75,0.25,6.67687,4.57553,4.60448
0.00319587,0.0871198,0.5,0.75,0.25,7.00462,4.8016,4.69941
